,Stock,Company Name,Sector,Shares Held or Principal Amt,ESG Risk,Market Value,% of Portfolio
3164,NEWR(PRN),NaN,INFORMATION TECHNOLOGY,"20,875,000",NaN,"$20,928,000",0.0
3165,GEF.B,Greif Inc. Corporation Class B,MATERIALS,"328,057",NaN,"$20,918,000",0.0
3166,SPLK(PRN),NaN,INFORMATION TECHNOLOGY,"17,674,000",NaN,"$20,868,000",0.0
3167,DEBT-WAYF(PRN),NaN,,"25,410,000",NaN,"$20,861,000",0.0
3168,ALKT,NaN,,"1,451,927",NaN,"$20,775,000",0.0
3169,IGOV,iShares International Treasury Bond ETF,FINANCE,"445,946",NaN,"$20,714,000",0.0
3170,HOV,Hovnanian Enterprises Inc. Class A,CONSUMER DISCRETIONARY,"350,342",NaN,"$20,704,000",0.0
3171,HCAR,NaN,FINANCE,"2,112,000",NaN,"$20,698,000",0.0
3172,RBB,RBB Bancorp,FINANCE,"964,040",NaN,"$20,620,816",0.0
3173,BRFS,BRF S.A.,CONSUMER STAPLES,"5,190,782",NaN,"$20,606,000",0.0
3174,RBBN,Ribbon Communications Inc.,INFORMATION TECHNOLOGY,"6,649,989",NaN,"$20,549,000",0.0
3175,EVCM,NaN,INFORMATION TECHNOLOGY,"1,551,990",NaN,"$20,485,000",0.0
3176,HTZ,Hertz Global Holdings Inc,CONSUMER DISCRETIONARY,"923,803",NaN,"$20,463,000",0.0
3177,ENLC,EnLink Midstream LLC representing Limited Partner Interests,ENERGY,"2,115,023",NaN,"$20,410,000",0.0
3178,SCU,NaN,FINANCE,"1,463,621",NaN,"$20,389,000",0.0
3179,RUSHB,Rush Enterprises Inc. Class B Common Stock,INDUSTRIALS,"421,301",NaN,"$20,369,000",0.0
3180,ABUS,Arbutus Biopharma Corporation,HEALTH CARE,"6,824,829",NaN,"$20,338,000",0.0
3181,AKTS,Akoustis Technologies Inc.,INFORMATION TECHNOLOGY,"3,125,796",NaN,"$20,317,000",0.0
3182,IONQ,NaN,FINANCE,"1,590,563",NaN,"$20,295,000",0.0
3183,AUR,NaN,INFORMATION TECHNOLOGY,"3,630,346",NaN,"$20,293,000",0.0
3184,EIGR,Eiger BioPharmaceuticals Inc.,HEALTH CARE,"2,444,264",NaN,"$20,287,000",0.0
3185,LE,Lands' End Inc.,CONSUMER DISCRETIONARY,"1,193,126",NaN,"$20,189,000",0.0
3186,CLOV,NaN,FINANCE,"5,681,089",NaN,"$20,168,000",0.0
3187,WE,NaN,REAL ESTATE,"2,953,405",NaN,"$20,142,000",0.0
3188,ROIV,NaN,FINANCE,"4,044,419",NaN,"$19,980,000",0.0
3189,EWTX,NaN,HEALTH CARE,"2,055,160",NaN,"$19,934,000",0.0
3190,NNDM,Nano Dimension Ltd.,INFORMATION TECHNOLOGY,"5,597,146",NaN,"$19,927,000",0.0
3191,KNTK,NaN,FINANCE,"613,010",NaN,"$19,925,000",0.0
3192,DEBT-ZEND(PRN),NaN,,"15,798,000",NaN,"$19,913,000",0.0
3193,VERU,Veru Inc.,CONSUMER STAPLES,"4,113,505",NaN,"$19,868,000",0.0
3194,FIBR,NaN,FINANCE,"231,198",NaN,"$19,852,972",0.0
3195,ALCC,NaN,FINANCE,"2,033,698",NaN,"$19,848,000",0.0
3196,UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one),ENERGY,"6,523,793",NaN,"$19,766,000",0.0
3197,FLL,Full House Resorts Inc.,CONSUMER DISCRETIONARY,"2,050,586",NaN,"$19,706,000",0.0
3198,BRFS,BRF S.A.,CONSUMER STAPLES,"5,190,782",NaN,"$20,606,000",0.0
3199,RBBN,Ribbon Communications Inc.,INFORMATION TECHNOLOGY,"6,649,989",NaN,"$20,549,000",0.0
3200,EVCM,NaN,INFORMATION TECHNOLOGY,"1,551,990",NaN,"$20,485,000",0.0
3201,STR,NaN,FINANCE,"2,905,853",NaN,"$19,585,000",0.0
3202,TIPT,Tiptree Inc.,REAL ESTATE,"1,521,967",NaN,"$19,559,000",0.0
3203,PLYA,Playa Hotels & Resorts N.V.,CONSUMER DISCRETIONARY,"2,250,891",NaN,"$19,471,000",0.0
3204,RUBY,Rubius Therapeutics Inc.,HEALTH CARE,"3,506,569",NaN,"$19,318,000",0.0
3205,HLMN,NaN,FINANCE,"1,624,102",NaN,"$19,294,000",0.0
3206,FPAC.UN,NaN,FINANCE,"1,950,010",NaN,"$19,266,099",0.0
3207,TASK,NaN,INFORMATION TECHNOLOGY,"500,424",NaN,"$19,247,000",0.0
3208,GNTY,Guaranty Bancshares Inc.,FINANCE,"548,840",NaN,"$19,209,000",0.0
3209,DEBT-SOUT(PRN),NaN,,"14,155,000",NaN,"$19,208,000",0.0
3210,TLYS,Tilly's Inc.,CONSUMER DISCRETIONARY,"2,051,622",NaN,"$19,203,000",0.0
3211,UTMD,Utah Medical Products Inc.,HEALTH CARE,"213,144",NaN,"$19,154,000",0.0
3212,CGEM,NaN,HEALTH CARE,"1,826,169",NaN,"$19,120,000",0.0
3213,RCKY,Rocky Brands Inc.,CONSUMER DISCRETIONARY,"459,029",NaN,"$19,092,000",0.0
3214,MAIN,Main Street Capital Corporation,FINANCE,"445,229",NaN,"$18,984,000",0.0
3215,USLM,United States Lime & Minerals Inc.,MATERIALS,"163,185",NaN,"$18,937,000",0.0
3216,X(PUT),NaN,MATERIALS,"500,000",NaN,"$18,870,000",0.0
3217,IWO,iShares Russell 2000 Growth,FINANCE,"73,742",NaN,"$18,859,000",0.0
3218,FRST,NaN,FINANCE,"1,347,454",NaN,"$18,836,000",0.0
3219,BROS,NaN,CONSUMER DISCRETIONARY,"340,347",NaN,"$18,811,000",0.0
3220,DEBT-AIRB(PRN),NaN,,"19,459,000",NaN,"$18,810,000",0.0
3221,XENE,Xenon Pharmaceuticals Inc.,HEALTH CARE,"614,957",NaN,"$18,801,000",0.0
3222,DEBT-TWIT(PRN),NaN,,"22,350,000",NaN,"$18,762,000",0.0
3223,PHAT,NaN,HEALTH CARE,"1,378,517",NaN,"$18,761,000",0.0
3224,MFC,Manulife Financial Corporation,FINANCE,"878,359",NaN,"$18,753,000",0.0
3225,FLNC,NaN,UTILITIES AND TELECOMMUNICATIONS,"1,430,213",NaN,"$18,750,000",0.0
3226,STR,NaN,FINANCE,"2,905,853",NaN,"$19,585,000",0.0
3227,TLK,PT Telekomunikasi Indonesia Tbk,UTILITIES AND TELECOMMUNICATIONS,"585,520",NaN,"$18,708,000",0.0
3228,GNOG,NaN,FINANCE,"2,629,284",NaN,"$18,694,000",0.0
3229,AXTI,AXT Inc,INFORMATION TECHNOLOGY,"2,655,631",NaN,"$18,643,000",0.0
3230,ATLC,Atlanticus Holdings Corporation,FINANCE,"359,187",NaN,"$18,602,000",0.0
3231,MIR,NaN,FINANCE,"2,302,251",NaN,"$18,580,000",0.0
3232,IGMS,NaN,HEALTH CARE,"694,824",NaN,"$18,573,000",0.0
3233,PV3B:SWB,NaN,,"1,526,153",NaN,"$18,543,000",0.0
3234,IMVT,NaN,FINANCE,"3,353,866",NaN,"$18,479,000",0.0
3235,IRMD,iRadimed Corporation,HEALTH CARE,"411,879",NaN,"$18,469,000",0.0
3236,DEBT-MICR(PRN),NaN,,"25,800,000",NaN,"$18,431,000",0.0
3237,FREE,NaN,FINANCE,"2,573,148",NaN,"$18,424,000",0.0
3238,ICVT,NaN,FINANCE,"221,085",NaN,"$18,420,000",0.0
3239,INTA,NaN,INFORMATION TECHNOLOGY,"766,305",NaN,"$18,398,000",0.0
3240,VCIT,Vanguard Intermediate-Term Corporate Bond ETF,FINANCE,"213,745",NaN,"$18,391,000",0.0
3241,NMR,Nomura Holdings Inc ADR American Depositary Shares,FINANCE,"4,351,629",NaN,"$18,364,000",0.0
3242,TCS,Container Store (The),CONSUMER DISCRETIONARY,"2,243,955",NaN,"$18,332,000",0.0
3243,DBA(CALL),NaN,CONSUMER STAPLES,"835,400",NaN,"$18,278,000",0.0
3244,MNMD,NaN,HEALTH CARE,"16,434,210",NaN,"$18,242,000",0.0
3245,CURO,CURO Group Holdings Corp.,FINANCE,"1,395,059",NaN,"$18,206,000",0.0
3246,VCTR,Victory Capital Holdings Inc.,FINANCE,"630,415",NaN,"$18,201,000",0.0
3247,RLGT,Radiant Logistics Inc.,TRANSPORTS,"2,848,820",NaN,"$18,148,000",0.0
3248,FXLV,NaN,CONSUMER DISCRETIONARY,"1,691,005",NaN,"$18,093,000",0.0
3249,PCSB,PCSB Financial Corporation,FINANCE,"943,814",NaN,"$18,036,000",0.0
3250,CZOO,NaN,FINANCE,"6,527,310",NaN,"$18,016,000",0.0
3251,DVYE,iShares Emerging Markets Dividend Index Fund Exchange Traded Fund,FINANCE,"549,562",NaN,"$17,970,000",0.0
3252,MAXN,NaN,ENERGY,"1,237,591",NaN,"$17,920,000",0.0
3253,PTSI,P.A.M. Transportation Services Inc.,TRANSPORTS,"514,567",NaN,"$17,883,000",0.0
3254,OMIC,NaN,HEALTH CARE,"2,830,677",NaN,"$17,862,000",0.0
3255,DXJ,WisdomTree Japan Hedged Equity Fund,FINANCE,"278,260",NaN,"$17,814,000",0.0
3256,CPTK.UN,NaN,FINANCE,"1,800,000",NaN,"$17,784,000",0.0
3257,DGICA,Donegal Group Inc. Class A Common Stock,FINANCE,"1,319,081",NaN,"$17,688,000",0.0
3258,VTNR,Vertex Energy Inc,INDUSTRIALS,"1,779,290",NaN,"$17,687,000",0.0
3259,CMBM,NaN,COMMUNICATIONS,"746,989",NaN,"$17,660,000",0.0
3260,EP+C,NaN,ENERGY,"354,415",NaN,"$17,650,000",0.0
3261,BATRA,Liberty Media Corporation Series A Liberty Braves Common Stock,COMMUNICATIONS,"612,302",NaN,"$17,621,000",0.0
3262,SMMF,Summit Financial Group Inc.,FINANCE,"686,072",NaN,"$17,557,000",0.0
3263,SUSC,NaN,FINANCE,"696,913",NaN,"$17,514,000",0.0
3264,NUVL,NaN,HEALTH CARE,"1,257,463",NaN,"$17,466,000",0.0
3265,ESPR,Esperion Therapeutics Inc.,HEALTH CARE,"3,763,740",NaN,"$17,463,000",0.0
3266,PVBC,Provident Bancorp Inc.,FINANCE,"1,075,957",NaN,"$17,452,000",0.0
3267,AHT,Ashford Hospitality Trust Inc,REAL ESTATE,"1,710,372",NaN,"$17,446,000",0.0
3268,DEBT-SHIF(PRN),NaN,,"16,651,000",NaN,"$17,434,000",0.0
3269,TNK,Teekay Tankers Ltd.,TRANSPORTS,"1,255,658",NaN,"$17,378,000",0.0
3270,HBCP,Home Bancorp Inc.,FINANCE,"425,808",NaN,"$17,368,000",0.0
3271,DEBT-ALLE(PRN),NaN,,"9,269,000",NaN,"$17,368,000",0.0
3272,DEBT-BOOK(PRN),NaN,,"12,005,000",NaN,"$17,323,000",0.0
3273,WNS,WNS (Holdings) Limited Sponsored ADR (Jersey),INFORMATION TECHNOLOGY,"202,173",NaN,"$17,285,000",0.0
3274,E,ENI S.p.A.,ENERGY,"590,847",NaN,"$17,282,000",0.0
3275,DEBT-AKAM(PRN),NaN,,"15,026,000",NaN,"$17,273,000",0.0
3276,DSGX,The Descartes Systems Group Inc.,INFORMATION TECHNOLOGY,"235,686",NaN,"$17,266,000",0.0
3277,ATOM,Atomera Incorporated,INFORMATION TECHNOLOGY,"1,321,238",NaN,"$17,256,000",0.0
3278,MIRM,NaN,HEALTH CARE,"782,830",NaN,"$17,238,000",0.0
3279,HRT,NaN,INFORMATION TECHNOLOGY,"1,006,910",NaN,"$17,218,000",0.0
3280,TS,Tenaris S.A. American Depositary Shares,ENERGY,"570,987",NaN,"$17,170,000",0.0
3281,DEBT-OMNI(PRN),NaN,,"12,168,000",NaN,"$17,151,000",0.0
3282,DEBT-CINE(PRN),NaN,,"11,650,000",NaN,"$17,140,000",0.0
3283,SAN,Banco Santander S.A. Sponsored ADR (Spain),FINANCE,"5,060,523",NaN,"$17,105,000",0.0
3284,ENFN,NaN,INFORMATION TECHNOLOGY,"1,342,703",NaN,"$17,079,000",0.0
3285,JHX,James Hardie Industries plc American Depositary Shares (Ireland),MATERIALS,"566,437",NaN,"$17,078,000",0.0
3286,FHTX,NaN,HEALTH CARE,"1,116,634",NaN,"$17,006,000",0.0
3287,DEBT-BLOC(PRN),NaN,,"18,754,000",NaN,"$16,985,000",0.0
3288,DEBT-SABR(PRN),NaN,,"10,338,000",NaN,"$16,960,000",0.0
3289,SMRT,Stein Mart Inc.,INDUSTRIALS,"3,351,259",NaN,"$16,958,000",0.0
3290,DEBT-MONG(PRN),NaN,,"7,794,000",NaN,"$16,878,000",0.0
3291,ARIS,NaN,INDUSTRIALS,"925,762",NaN,"$16,848,000",0.0
3292,ULH,Universal Logistics Holdings Inc.,TRANSPORTS,"833,880",NaN,"$16,803,000",0.0
3293,KNBE,NaN,INFORMATION TECHNOLOGY,"729,028",NaN,"$16,781,000",0.0
3294,JNCE,Jounce Therapeutics Inc.,HEALTH CARE,"2,466,858",NaN,"$16,751,000",0.0
3295,HTPA,NaN,FINANCE,"1,704,056",NaN,"$16,751,000",0.0
3296,BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,FINANCE,"2,170,278",NaN,"$16,712,000",0.0
3297,JANX,NaN,HEALTH CARE,"1,161,721",NaN,"$16,659,000",0.0
3298,NESR,National Energy Services Reunited Corp.,FINANCE,"1,982,267",NaN,"$16,650,000",0.0
3299,VRM,NaN,CONSUMER DISCRETIONARY,"6,247,885",NaN,"$16,619,000",0.0
3300,ALLK,Allakos Inc.,HEALTH CARE,"2,911,899",NaN,"$16,599,000",0.0
3301,LTCH,NaN,FINANCE,"3,882,662",NaN,"$16,579,000",0.0
3302,PSO,Pearson Plc,COMMUNICATIONS,"1,659,201",NaN,"$16,542,000",0.0
3303,SLGC,NaN,FINANCE,"2,057,346",NaN,"$16,500,000",0.0
3304,DAVE,Famous Dave's of America Inc.,FINANCE,"2,304,546",NaN,"$16,478,000",0.0
3305,DICE,NaN,HEALTH CARE,"860,540",NaN,"$16,462,000",0.0
3306,PSTL,NaN,REAL ESTATE,"973,723",NaN,"$16,378,000",0.0
3307,ALTG,NaN,FINANCE,"1,323,282",NaN,"$16,355,000",0.0
3308,UWMC,NaN,INFORMATION TECHNOLOGY,"3,601,704",NaN,"$16,315,000",0.0
3309,ORRF,Orrstown Financial Services Inc,FINANCE,"710,075",NaN,"$16,283,000",0.0
3310,DXCM(PRN),NaN,HEALTH CARE,"20,916,000",NaN,"$16,269,000",0.0
3311,LBC,Luther Burbank Corporation,FINANCE,"1,223,297",NaN,"$16,258,000",0.0
3312,KVSA,NaN,FINANCE,"1,661,875",NaN,"$16,253,000",0.0
3313,DEBT-HALO(PRN),NaN,,"18,635,000",NaN,"$16,236,000",0.0
3314,LXU,LSB Industries Inc.,MATERIALS,"740,877",NaN,"$16,181,000",0.0
3315,AVNW,Aviat Networks Inc.,INFORMATION TECHNOLOGY,"525,162",NaN,"$16,159,000",0.0
3316,CCJ,Cameco Corporation,ENERGY,"554,571",NaN,"$16,138,000",0.0
3317,MYOV,Myovant Sciences Ltd.,HEALTH CARE,"1,202,975",NaN,"$16,023,000",0.0
3318,CRH,CRH PLC American Depositary Shares,MATERIALS,"399,214",NaN,"$15,992,000",0.0
3319,BBVA,Banco Bilbao Vizcaya Argentaria S.A.,FINANCE,"2,805,810",NaN,"$15,965,000",0.0
3320,VERA,NaN,HEALTH CARE,"679,675",NaN,"$15,965,000",0.0
3321,FSBC,FSB Bancorp Inc.,FINANCE,"563,074",NaN,"$15,935,000",0.0
3322,PCYO,Pure Cycle Corporation,UTILITIES AND TELECOMMUNICATIONS,"1,324,247",NaN,"$15,918,000",0.0
3323,XPOF,NaN,CONSUMER DISCRETIONARY,"677,709",NaN,"$15,886,000",0.0
3324,UGIC,NaN,UTILITIES AND TELECOMMUNICATIONS,"176,294",NaN,"$15,866,000",0.0
3325,BRG,Bluerock Residential Growth REIT Inc. Class A,REAL ESTATE,"596,253",NaN,"$15,842,000",0.0
3326,ORMP,Oramed Pharmaceuticals Inc.,HEALTH CARE,"1,830,166",NaN,"$15,832,000",0.0
3327,DEBT-ENPH(PRN),NaN,,"15,215,000",NaN,"$15,809,000",0.0
3328,EGAN,eGain Corporation,INFORMATION TECHNOLOGY,"1,363,187",NaN,"$15,787,000",0.0
3329,SCHP,Schwab U.S. TIPs,FINANCE,"259,986",NaN,"$15,784,000",0.0
3330,VSH(PRN),NaN,INFORMATION TECHNOLOGY,"15,834,000",NaN,"$15,774,000",0.0
3331,CRM(CALL),NaN,INFORMATION TECHNOLOGY,"73,900",NaN,"$15,690,000",0.0
3332,IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one),CONSUMER DISCRETIONARY,"227,500",NaN,"$15,657,000",0.0
3333,SB,Safe Bulkers Inc ($0.001 par value),TRANSPORTS,"3,255,342",NaN,"$15,495,000",0.0
3334,SSTI,ShotSpotter Inc.,INFORMATION TECHNOLOGY,"558,913",NaN,"$15,493,000",0.0
3335,AFCG,NaN,REAL ESTATE,"809,292",NaN,"$15,473,000",0.0
3336,RMNI,Rimini Street Inc.,FINANCE,"2,660,967",NaN,"$15,434,000",0.0
3337,DEBT-ITRO(PRN),NaN,,"18,225,000",NaN,"$15,409,000",0.0
3338,FNDF,NaN,FINANCE,"475,975",NaN,"$15,345,000",0.0
3339,EMBK,NaN,INFORMATION TECHNOLOGY,"2,600,683",NaN,"$15,318,000",0.0
3340,GATO,NaN,MATERIALS,"3,542,883",NaN,"$15,305,000",0.0
3341,IMO,Imperial Oil Limited,ENERGY,"316,626",NaN,"$15,299,000",0.0
3342,TH,NaN,FINANCE,"2,549,590",NaN,"$15,298,000",0.0
3343,FRSH,Papa Murphy's Holdings Inc.,INFORMATION TECHNOLOGY,"852,472",NaN,"$15,277,000",0.0
3344,SJR,Shaw Communications Inc.,COMMUNICATIONS,"491,788",NaN,"$15,265,000",0.0
3345,MCBC,Macatawa Bank Corporation,FINANCE,"1,693,807",NaN,"$15,261,000",0.0
3346,PGEN,NaN,HEALTH CARE,"7,225,641",NaN,"$15,246,000",0.0
3347,PSEC,Prospect Capital Corporation,FINANCE,"1,835,826",NaN,"$15,201,000",0.0
3348,EPM,Evolution Petroleum Corporation Inc.,ENERGY,"2,238,707",NaN,"$15,200,000",0.0
3349,DZSI,DASAN Zhone Solutions Inc.,INFORMATION TECHNOLOGY,"1,094,323",NaN,"$15,179,000",0.0
3350,STRC,NaN,INDUSTRIALS,"2,266,454",NaN,"$15,072,000",0.0
3351,ALVR,NaN,HEALTH CARE,"2,230,919",NaN,"$15,059,000",0.0
3352,HFFG,HF Foods Group Inc.,FINANCE,"2,259,862",NaN,"$15,051,000",0.0
3353,VLDR,NaN,FINANCE,"5,872,701",NaN,"$15,034,000",0.0
3354,GBDC,Golub Capital BDC Inc.,FINANCE,"985,378",NaN,"$14,987,000",0.0
3355,ABOS,NaN,HEALTH CARE,"3,831,321",NaN,"$14,980,000",0.0
3356,NDLS,Noodles & Company,CONSUMER DISCRETIONARY,"2,504,073",NaN,"$14,948,000",0.0
3357,URG,Ur-Energy Inc (Canada),MATERIALS,"9,332,258",NaN,"$14,932,000",0.0
3358,EPOL,iShares Trust MSCI Poland,FINANCE,"946,107",NaN,"$14,929,568",0.0
3359,XL,NaN,FINANCE,"7,489,170",NaN,"$14,904,000",0.0
3360,IMUX,NaN,HEALTH CARE,"1,314,484",NaN,"$14,853,000",0.0
3361,IVLU,NaN,FINANCE,"583,183",NaN,"$14,842,000",0.0
3362,AOK,iShares Core Conservative Allocation,FINANCE,"393,843",NaN,"$14,836,000",0.0
3363,IMCR,NaN,HEALTH CARE,"496,182",NaN,"$14,836,000",0.0
3364,MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),FINANCE,"5,697,964",NaN,"$14,644,000",0.0
3365,AKAM(PRN),NaN,,"11,137,000",NaN,"$14,635,000",0.0
3366,TPG,NaN,FINANCE,"483,884",NaN,"$14,585,000",0.0
3367,DALS,NaN,FINANCE,"1,501,060",NaN,"$14,583,000",0.0
3368,TPBA,NaN,FINANCE,"1,499,800",NaN,"$14,578,000",0.0
3369,VTGN,VistaGen Therapeutics Inc.,HEALTH CARE,"11,732,424",NaN,"$14,549,000",0.0
3370,ASLE,NaN,FINANCE,"917,919",NaN,"$14,430,000",0.0
3371,WISH,NaN,INFORMATION TECHNOLOGY,"6,402,156",NaN,"$14,405,000",0.0
3372,RBLX,NaN,INFORMATION TECHNOLOGY,"311,209",NaN,"$14,390,000",0.0
3373,SRRA,Sierra Oncology Inc.,HEALTH CARE,"448,430",NaN,"$14,372,000",0.0
3374,ACMR,ACM Research Inc.,INDUSTRIALS,"693,370",NaN,"$14,346,000",0.0
3375,FWONA(PRN),NaN,COMMUNICATIONS,"9,213,000",NaN,"$14,313,000",0.0
3376,NKTX,NaN,HEALTH CARE,"1,253,706",NaN,"$14,268,000",0.0
3377,VONE,Vanguard Russell 1000 ETF,FINANCE,"68,822",NaN,"$14,260,000",0.0
3378,TCMD,Tactile Systems Technology Inc.,HEALTH CARE,"1,949,154",NaN,"$14,228,824",0.0
3379,BRBS,NaN,FINANCE,"937,804",NaN,"$14,227,000",0.0
3380,MRUS,Merus N.V.,HEALTH CARE,"536,800",NaN,"$14,192,000",0.0
3381,ORGN,NaN,FINANCE,"2,155,334",NaN,"$14,182,000",0.0
3382,DSGR,NaN,INDUSTRIALS,"367,291",NaN,"$14,156,000",0.0
3383,LWLG,NaN,INFORMATION TECHNOLOGY,"1,473,021",NaN,"$14,155,000",0.0
3384,OB,NaN,COMMUNICATIONS,"1,317,366",NaN,"$14,135,000",0.0
3385,LQDB,NaN,FINANCE,"150,000",NaN,"$14,015,000",0.0
3386,KEP,Korea Electric Power Corporation,UTILITIES AND TELECOMMUNICATIONS,"1,500,275",NaN,"$13,968,000",0.0
3387,USBF,NaN,FINANCE,"150,000",NaN,"$13,961,000",0.0
3388,FFIE,NaN,FINANCE,"2,782,292",NaN,"$13,885,000",0.0
3389,DEBT-MIDD(PRN),NaN,,"10,057,000",NaN,"$13,848,000",0.0
3390,BB,BlackBerry Limited,INFORMATION TECHNOLOGY,"1,842,439",NaN,"$13,744,000",0.0
3391,IMRX,NaN,HEALTH CARE,"2,123,374",NaN,"$13,739,000",0.0
3392,HTGC,Hercules Capital Inc.,FINANCE,"758,272",NaN,"$13,702,000",0.0
3393,AVTE,NaN,HEALTH CARE,"746,934",NaN,"$13,691,000",0.0
3394,KRUS,NaN,CONSUMER DISCRETIONARY,"247,111",NaN,"$13,629,000",0.0
3395,QUOT,Quotient Technology Inc.,CONSUMER DISCRETIONARY,"4,583,100",NaN,"$13,611,807",0.0
3396,YOU,NaN,INFORMATION TECHNOLOGY,"505,861",NaN,"$13,598,000",0.0
3397,ELQD,NaN,FINANCE,"150,000",NaN,"$13,552,000",0.0
3398,EVGO,NaN,CONSUMER DISCRETIONARY,"1,053,605",NaN,"$13,549,000",0.0
3399,DEBT-DROP(PRN),NaN,,"14,490,000",NaN,"$13,520,000",0.0
3400,GLRE,Greenlight Reinsurance Ltd.,FINANCE,"1,911,008",NaN,"$13,510,000",0.0
3401,DEBT-BENT(PRN),NaN,,"13,775,000",NaN,"$13,466,000",0.0
3402,ADGI,NaN,HEALTH CARE,"2,951,595",NaN,"$13,460,000",0.0
3403,SGHT,NaN,HEALTH CARE,"1,163,672",NaN,"$13,453,000",0.0
3404,CMAX,NaN,FINANCE,"1,795,564",NaN,"$13,413,000",0.0
3405,AMBP,NaN,MATERIALS,"1,648,566",NaN,"$13,401,000",0.0
3406,VLGEA,Village Super Market Inc. Class A Common Stock,CONSUMER STAPLES,"546,354",NaN,"$13,385,000",0.0
3407,DEBT-CNX(PRN),NaN,,"7,723,000",NaN,"$13,373,000",0.0
3408,DEBT-ZSCA(PRN),NaN,,"7,857,000",NaN,"$13,369,000",0.0
3409,BNR,NaN,HEALTH CARE,"1,436,749",NaN,"$13,348,000",0.0
3410,REPX,NaN,ENERGY,"531,585",NaN,"$13,332,000",0.0
3411,SNPO,NaN,CONSUMER DISCRETIONARY,"900,656",NaN,"$13,283,000",0.0
3412,RRBI,NaN,FINANCE,"251,051",NaN,"$13,282,000",0.0
3413,GSBD,Goldman Sachs BDC Inc.,FINANCE,"676,501",NaN,"$13,266,000",0.0
3414,OLO,DB Crude Oil Long Exchange Traded Notes due June 1 2038,INFORMATION TECHNOLOGY,"1,001,015",NaN,"$13,264,000",0.0
3415,ESLT,Elbit Systems Ltd.,INDUSTRIALS,"60,140",NaN,"$13,258,000",0.0
3416,FCX(CALL),NaN,MATERIALS,"266,500",NaN,"$13,256,000",0.0
3417,SLDP,NaN,FINANCE,"1,527,370",NaN,"$13,242,000",0.0
3418,ASTR,NaN,FINANCE,"3,421,752",NaN,"$13,207,000",0.0
3419,COOK,NaN,CONSUMER DISCRETIONARY,"1,774,890",NaN,"$13,204,000",0.0
3420,DEBT-DISH(PRN),NaN,,"13,560,000",NaN,"$13,155,000",0.0
3421,AZRE,Azure Power Global Limited Equity Shares,UTILITIES AND TELECOMMUNICATIONS,"786,841",NaN,"$13,093,000",0.0
3422,EXFY,NaN,INFORMATION TECHNOLOGY,"744,682",NaN,"$13,077,000",0.0
3423,USER,NaN,INFORMATION TECHNOLOGY,"1,219,243",NaN,"$13,034,000",0.0
3424,VNET,21Vianet Group Inc.,COMMUNICATIONS,"2,234,951",NaN,"$13,030,000",0.0
3425,EQRX,NaN,FINANCE,"3,152,802",NaN,"$13,021,000",0.0
3426,WDAY(PRN),NaN,COMMUNICATIONS,"7,927,000",NaN,"$13,017,000",0.0
3427,BMRN(PRN),NaN,HEALTH CARE,"13,020,000",NaN,"$13,013,000",0.0
3428,NATR,Nature's Sunshine Products Inc.,HEALTH CARE,"773,187",NaN,"$13,005,000",0.0
3429,FRBA,First Bank,FINANCE,"911,040",NaN,"$12,954,000",0.0
3430,IPSC,NaN,HEALTH CARE,"1,028,257",NaN,"$12,946,000",0.0
3431,XOMA,XOMA Corporation,HEALTH CARE,"461,495",NaN,"$12,912,000",0.0
3432,ELV(PRN),NaN,HEALTH CARE,"1,842,000",NaN,"$12,854,000",0.0
3433,RVSB,Riverview Bancorp Inc,FINANCE,"1,696,504",NaN,"$12,809,000",0.0
3434,OYST,NaN,HEALTH CARE,"1,091,834",NaN,"$12,709,000",0.0
3435,CRD.A,Crawford & Company,FINANCE,"1,680,538",NaN,"$12,704,000",0.0
3436,TK,Teekay Corporation,ENERGY,"3,989,909",NaN,"$12,649,000",0.0
3437,DB,Deutsche Bank AG,FINANCE,"999,640",NaN,"$12,645,000",0.0
3438,NYXH,NaN,HEALTH CARE,"659,270",NaN,"$12,619,000",0.0
3439,DEBT-LCI(PRN),NaN,,"13,775,000",NaN,"$12,598,000",0.0
3440,NGVC,Natural Grocers by Vitamin Cottage Inc.,CONSUMER STAPLES,"641,910",NaN,"$12,581,000",0.0
3441,TOK,iShares MSCI Kokusai,FINANCE,"129,026",NaN,"$12,501,000",0.0
3442,XRT(PUT),NaN,CONSUMER DISCRETIONARY,"165,000",NaN,"$12,464,000",0.0
3443,SGC,Superior Group of Companies Inc.,CONSUMER DISCRETIONARY,"697,578",NaN,"$12,451,000",0.0
3444,SES,Synthesis Energy Systems Inc.,FINANCE,"1,370,893",NaN,"$12,406,000",0.0
3445,EPZM,Epizyme Inc.,HEALTH CARE,"10,778,038",NaN,"$12,394,000",0.0
3446,STXS,NaN,HEALTH CARE,"3,314,654",NaN,"$12,364,000",0.0
3447,PRCT,NaN,HEALTH CARE,"352,791",NaN,"$12,344,000",0.0
3448,GOOS,Canada Goose Holdings Inc. Subordinate,CONSUMER DISCRETIONARY,"465,058",NaN,"$12,244,000",0.0
3449,HIMS,NaN,FINANCE,"2,286,315",NaN,"$12,187,000",0.0
